part,op_index,op_name,gt_dia,kind,open_sides,fillet_radius,depth,area,w,l,det_idx,matched_by,max_inscribed,hull_ratio
featured_part_00070,7,MILL_CORNER_NOTCH_RECTANGULAR,16.0,center,0,14.2,31.602,6279.38,69.1,91.5,1,poly,69.1,1.0
featured_part_00070,8,MILL_RECTANGULAR_POCKET,16.0,center,0,8.1,37.902,15465.28,87.2,178.0,0,poly,87.2,1.0
featured_part_00071,6,MILL_RECTANGULAR_SLOT,25.0,slot,2,0.0,23.2,5463.54,25.4,215.1,0,poly,25.399,1.0
featured_part_00072,6,MILL_SLOT,10.0,edge,1,5.4,29.9,20257.64,84.6,239.6,1,poly,84.6,1.0
featured_part_00072,7,MILL_RECTANGULAR_SLOT,32.0,slot,2,0.0,18.9,10085.25,33.9,297.5,0,poly,33.898,1.0
featured_part_00073,4,MILL_RECTANGULAR_POCKET,16.0,center,0,6.6,37.901,2247.17,45.6,50.1,1,near,45.6,1.0
featured_part_00073,5,MILL_RECTANGULAR_POCKET,12.0,center,0,6.6,37.901,2247.17,45.6,50.1,1,near,45.6,1.0
featured_part_00075,2,MILL_RECTANGULAR_POCKET,16.0,center,0,10.2,37.9,4406.27,66.7,67.4,0,poly,66.7,1.0
featured_part_00075,3,MILL_RECTANGULAR_SLOT,16.0,slot,2,0.0,24.0,4085.25,19.5,209.5,1,poly,19.499,1.0
featured_part_00075,4,MILL_RECTANGULAR_SLOT,12.0,slot,2,0.0,24.4,2669.37,13.9,209.5,2,poly,13.9,0.9167
featured_part_00001,3,MILL_CORNER_NOTCH_RECTANGULAR,6.0,corner,2,3.9,25.9,11080.8,95.8,115.7,1,poly,95.8,1.0
featured_part_00001,4,MILL_SLOT,20.0,edge,1,12.8,37.9,7487.44,78.4,96.4,0,poly,78.4,1.0
featured_part_00002,2,MILL_CORNER_NOTCH_RECTANGULAR,8.0,corner,2,4.2,25.9,3585.0,59.9,72.7,1,poly,59.9,0.824
featured_part_00002,3,MILL_RECTANGULAR_POCKET,20.0,center,0,12.5,15.3,7673.37,69.4,112.5,2,poly,69.4,1.0
featured_part_00002,4,MILL_RECTANGULAR_POCKET,6.0,center,0,3.4,25.9,14439.76,109.8,131.6,3,poly,109.8,1.0
featured_part_00002,5,MILL_RECTANGULAR_POCKET,20.0,center,0,11.4,37.9,765.94,27.0,32.5,4,near,27.0,1.0002
featured_part_00002,6,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,37.9,7101.52,23.2,306.1,0,poly,23.199,1.0
featured_part_00004,10,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,12.3,37.9,5245.86,61.4,89.2,0,poly,61.4,0.9635
featured_part_00006,3,MILL_RECTANGULAR_SLOT,30.0,slot,2,0.0,49.9,9672.0,31.0,312.0,0,poly,30.998,1.0
featured_part_00007,3,MILL_RECTANGULAR_SLOT,12.0,slot,2,0.0,37.9,4323.06,14.1,306.6,0,poly,14.099,1.0
featured_part_00009,22,MILL_CORNER_NOTCH_RECTANGULAR,12.0,center,0,7.5,37.901,3296.33,52.5,71.0,0,poly,52.5,0.8872
featured_part_00010,8,MILL_CORNER_NOTCH_RECTANGULAR,20.0,edge,1,10.7,12.2,4776.55,59.2,81.1,0,poly,59.2,1.0
featured_part_00011,5,MILL_RECTANGULAR_POCKET,12.0,center,0,6.1,37.9,5907.34,58.4,101.7,0,poly,58.4,1.0
featured_part_00099,2,MILL_CORNER_NOTCH_RECTANGULAR,12.0,center,0,7.0,37.902,4420.68,58.0,76.4,0,poly,58.0,1.0
featured_part_00099,3,MILL_RECTANGULAR_POCKET,25.0,center,0,14.0,37.902,13121.53,99.4,133.7,1,poly,99.4,1.0
featured_part_00101,2,MILL_SLOT,12.0,edge,1,7.9,21.3,16172.99,95.8,169.1,0,poly,95.8,1.0
featured_part_00103,20,MILL_CORNER_NOTCH_RECTANGULAR,20.0,center,0,5.7,29.9,2717.22,42.7,73.6,2,near,42.7,0.8724
featured_part_00103,21,MILL_RECTANGULAR_POCKET,10.0,center,0,5.7,29.9,2717.22,42.7,73.6,2,near,42.7,0.8724
featured_part_00103,22,MILL_SLOT,20.0,edge,1,13.4,29.9,8625.4,72.1,120.7,0,poly,72.1,1.0
featured_part_00106,3,MILL_SLOT,6.0,edge,1,3.8,25.9,6973.35,61.2,127.6,0,poly,61.2,0.8937
featured_part_00107,10,MILL_SLOT,10.0,edge,1,6.0,28.1,4023.7,63.1,68.0,0,poly,63.1,0.9411
featured_part_00108,3,MILL_CORNER_NOTCH_RECTANGULAR,6.0,corner,2,3.2,20.9,3446.24,55.0,63.1,0,poly,55.0,0.9936
featured_part_00108,4,MILL_CORNER_NOTCH_RECTANGULAR,12.0,corner,2,6.2,33.4,6197.19,76.8,80.8,1,poly,76.8,1.0
featured_part_00109,7,MILL_RECTANGULAR_POCKET,20.0,center,0,10.9,37.9,20418.28,125.3,169.6,0,poly,125.3,0.9655
featured_part_00109,8,MILL_SLOT,8.0,edge,1,4.1,25.9,11009.87,90.9,121.2,1,poly,90.9,1.0
featured_part_00110,4,MILL_RECTANGULAR_SLOT,32.0,slot,2,0.0,39.5,13316.4,32.4,411.0,0,poly,32.398,1.0
featured_part_00120,2,MILL_SLOT,16.0,edge,1,8.8,37.9,11193.18,84.6,132.7,0,poly,84.6,1.0
featured_part_00121,7,MILL_RECTANGULAR_POCKET,16.0,center,0,11.2,37.9,17279.38,123.4,140.9,1,poly,123.4,1.0
featured_part_00121,8,MILL_RECTANGULAR_SLOT,16.0,slot,2,0.0,37.9,6405.88,18.8,345.0,0,poly,18.799,0.9876
featured_part_00122,5,MILL_RECTANGULAR_SLOT,10.0,slot,2,0.0,10.9,3396.84,12.0,287.0,0,poly,12.0,0.9863
featured_part_00122,6,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,20.1,5768.7,20.1,287.0,1,poly,20.099,1.0
featured_part_00123,2,MILL_CORNER_NOTCH_RECTANGULAR,25.4,corner,2,13.3,23.2,5733.3,70.9,81.4,0,poly,70.9,1.0
featured_part_00124,10,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,13.7,37.9,7746.64,70.3,129.1,0,poly,70.3,0.8574
featured_part_00124,11,MILL_RECTANGULAR_SLOT,45.0,slot,2,0.0,62.9,14034.24,49.0,291.1,1,poly,48.998,0.9839
featured_part_00125,4,MILL_SLOT,8.0,edge,1,4.2,25.9,10454.49,82.3,132.6,0,poly,82.3,0.9587
featured_part_00126,8,MILL_RECTANGULAR_POCKET,18.0,center,0,9.4,5.5,5824.66,67.9,86.9,0,poly,67.9,1.0
featured_part_00127,8,MILL_OPEN_POCKET,8.0,edge,1,14.3,37.9,7032.03,73.4,97.0,0,near,73.4,1.0
featured_part_00127,9,MILL_SLOT,20.0,edge,1,14.3,37.9,7032.03,73.4,97.0,0,poly,73.4,1.0
featured_part_00127,10,MILL_SLOT,12.0,edge,1,7.5,22.2,7776.82,54.4,143.4,1,poly,54.4,1.0
featured_part_00127,11,MILL_SLOT,20.0,edge,1,10.4,37.9,16796.72,114.8,147.2,2,poly,114.8,0.9967
featured_part_00127,12,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,37.9,9193.25,27.5,334.3,3,poly,27.499,1.0
featured_part_00012,11,MILL_RECTANGULAR_POCKET,12.0,center,0,7.3,37.9,4488.46,49.5,91.6,1,near,49.5,1.0
featured_part_00012,12,MILL_SLOT,20.0,center,0,7.3,37.9,4488.46,49.5,91.6,1,near,49.5,1.0
featured_part_00013,3,MILL_RECTANGULAR_POCKET,8.0,center,0,4.2,22.3,9427.6,93.4,101.1,0,poly,93.4,1.0
featured_part_00016,4,MILL_CORNER_NOTCH_RECTANGULAR,12.0,corner,2,6.9,14.1,4345.65,61.9,88.1,0,poly,61.9,0.7984
featured_part_00016,5,MILL_RECTANGULAR_POCKET,22.0,center,0,14.0,20.9,1097.52,31.1,40.7,1,near,31.1,1.0002
featured_part_00017,4,MILL_CORNER_NOTCH_RECTANGULAR,8.0,corner,2,4.5,17.7,3090.44,59.7,72.8,3,poly,59.7,0.7118
featured_part_00017,5,MILL_RECTANGULAR_POCKET,25.0,center,0,13.3,37.9,1350.68,36.7,43.3,2,near,36.7,0.9399
featured_part_00017,6,MILL_RECTANGULAR_POCKET,25.0,center,0,13.3,37.9,1350.68,36.7,43.3,2,near,36.7,0.9399
featured_part_00017,7,MILL_RECTANGULAR_POCKET,6.0,center,0,3.2,25.9,1251.37,35.2,35.8,4,near,35.2,1.0
featured_part_00017,8,MILL_RECTANGULAR_SLOT,32.0,slot,2,0.0,46.2,9921.18,32.7,303.4,0,poly,32.698,1.0
featured_part_00018,1,MILL_CORNER_NOTCH_RECTANGULAR,25.4,corner,2,13.1,11.9,17103.82,114.5,149.7,1,poly,114.5,1.0
featured_part_00018,2,MILL_SLOT,6.0,edge,1,3.3,25.9,21965.85,105.0,213.2,0,poly,105.0,0.9814
featured_part_00018,3,MILL_SLOT,8.0,edge,1,4.3,14.3,13687.35,109.3,125.3,2,poly,109.3,1.0
featured_part_00021,3,MILL_RECTANGULAR_POCKET,15.0,center,0,7.6,11.3,12396.34,107.2,116.1,0,poly,107.2,1.0
featured_part_00022,3,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,9.6,16.2,5127.18,40.4,127.4,1,poly,40.4,1.0
featured_part_00022,4,MILL_SLOT,16.0,edge,1,8.2,37.9,9234.46,56.9,162.8,0,poly,56.9,1.0
featured_part_00023,2,MILL_RECTANGULAR_SLOT,28.0,slot,2,0.0,8.9,13575.11,28.1,483.1,0,poly,28.099,1.0
featured_part_00025,3,MILL_SLOT,20.0,edge,1,13.5,37.9,8183.6,58.1,142.2,0,poly,58.1,1.0
featured_part_00027,3,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,8.8,37.9,2823.39,41.1,69.1,1,poly,41.1,1.0
featured_part_00027,4,MILL_RECTANGULAR_POCKET,16.0,center,0,10.7,37.9,6927.24,80.2,87.6,0,poly,80.2,1.0
featured_part_00028,3,MILL_CORNER_NOTCH_RECTANGULAR,7.9,edge,1,4.0,11.4,4661.57,74.0,82.5,0,poly,74.0,0.764
featured_part_00028,4,MILL_RECTANGULAR_POCKET,15.0,center,0,7.6,23.3,1171.2,34.1,35.8,1,near,34.1,1.0001
featured_part_00029,1,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,9.6,37.9,7573.52,76.7,99.0,1,poly,76.7,1.0
featured_part_00029,2,MILL_OPEN_POCKET,16.0,edge,1,14.7,37.9,21520.71,101.4,213.9,0,poly,101.4,0.9965
featured_part_00029,3,MILL_RECTANGULAR_POCKET,8.0,center,0,4.5,25.9,27745.82,144.6,192.0,3,poly,144.6,1.0
featured_part_00029,4,MILL_SLOT,16.0,edge,1,13.6,37.9,17171.83,104.3,165.4,2,poly,104.3,1.0
featured_part_00031,3,MILL_RECTANGULAR_SLOT,45.0,slot,2,0.0,15.4,10979.01,47.1,233.1,0,poly,47.098,1.0
featured_part_00032,4,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,10.0,34.5,10312.04,83.0,124.5,0,poly,83.0,1.0
featured_part_00033,12,MILL_RECTANGULAR_POCKET,20.0,center,0,12.3,37.9,10409.3,88.4,119.5,0,poly,88.4,0.9977
featured_part_00034,6,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,12.2,22.2,7361.47,59.1,125.1,3,poly,59.1,1.0
featured_part_00034,7,MILL_OPEN_POCKET,8.0,edge,1,15.0,28.4,7173.86,49.9,145.7,2,poly,49.9,1.0
featured_part_00034,8,MILL_SLOT,20.0,edge,1,15.0,28.4,7173.86,49.9,145.7,2,poly,49.9,1.0
featured_part_00034,9,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,10.6,9905.43,20.6,488.4,1,poly,20.6,0.9845
featured_part_00034,10,MILL_RECTANGULAR_SLOT,10.0,slot,2,0.0,29.9,5567.76,11.4,488.4,0,poly,11.399,1.0
featured_part_00084,5,MILL_CORNER_NOTCH_RECTANGULAR,12.0,corner,2,6.5,19.6,7929.64,77.3,102.7,1,poly,77.3,1.0
featured_part_00084,6,MILL_CORNER_NOTCH_RECTANGULAR,8.0,corner,2,4.5,25.9,8144.96,76.6,107.2,2,poly,76.6,0.9924
featured_part_00084,7,MILL_RECTANGULAR_SLOT,40.0,slot,2,0.0,52.8,21042.56,42.7,492.8,0,poly,42.698,1.0
featured_part_00085,6,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,30.5,7101.92,27.2,261.1,0,poly,27.199,1.0
featured_part_00088,6,MILL_OPEN_POCKET,20.0,edge,1,12.8,23.0,7555.33,56.2,137.1,1,poly,56.2,0.9896
featured_part_00088,7,MILL_OPEN_POCKET,6.0,edge,1,6.1,36.8,6578.03,47.1,140.0,0,poly,47.1,1.0
featured_part_00088,8,MILL_RECTANGULAR_POCKET,20.0,center,0,11.9,26.1,9221.09,62.4,153.8,3,poly,62.4,0.9732
featured_part_00088,9,MILL_SLOT,12.0,edge,1,6.1,36.8,6578.03,47.1,140.0,0,poly,47.1,1.0
featured_part_00089,2,MILL_SLOT,14.0,edge,1,7.4,11.1,16487.62,119.3,138.4,0,poly,119.3,1.0
featured_part_00091,6,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,8.8,37.9,4900.18,43.9,112.0,1,poly,43.9,1.0
featured_part_00091,7,MILL_SLOT,8.0,edge,1,5.0,18.0,10237.97,60.5,169.4,0,poly,60.5,1.0
featured_part_00092,2,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,9.1,28.6,10397.93,81.5,127.8,1,poly,81.5,1.0
featured_part_00092,3,MILL_RECTANGULAR_POCKET,24.0,center,0,12.5,10.9,13360.26,112.4,122.1,2,poly,112.4,0.9831
featured_part_00092,4,MILL_SLOT,10.0,edge,1,5.1,13.1,14443.32,68.7,210.4,0,poly,68.7,1.0
featured_part_00095,7,MILL_RECTANGULAR_POCKET,12.0,center,0,6.8,14.0,6393.57,62.6,103.9,0,poly,62.6,0.989
featured_part_00098,5,MILL_SLOT,10.0,edge,1,5.8,28.9,8294.28,80.2,103.6,0,poly,80.2,1.0
featured_part_00098,6,MILL_SLOT,10.0,edge,1,6.3,19.0,11934.63,80.7,148.1,1,poly,80.7,1.0
featured_part_00130,2,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,8.5,37.9,7700.18,66.4,116.2,3,poly,66.4,1.0
featured_part_00130,3,MILL_RECTANGULAR_POCKET,6.0,center,0,3.5,25.9,12747.2,78.8,161.9,2,poly,78.8,1.0
featured_part_00130,4,MILL_SLOT,16.0,edge,1,13.1,37.9,9763.88,77.4,127.1,0,poly,77.4,1.0
featured_part_00130,5,MILL_SLOT,10.0,edge,1,5.5,28.3,7709.74,69.2,111.6,1,poly,69.2,1.0
featured_part_00133,4,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,11.3,37.9,14071.4,113.7,124.0,0,poly,113.7,1.0
featured_part_00134,4,MILL_RECTANGULAR_POCKET,25.0,center,0,13.4,37.9,7509.7,75.6,104.1,0,poly,75.6,0.9733
featured_part_00135,8,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,8.6,12.1,13513.55,92.5,148.2,0,poly,92.5,0.9869
featured_part_00137,4,MILL_RECTANGULAR_POCKET,6.0,center,0,3.2,25.9,10031.7,90.7,110.7,0,poly,90.7,1.0
featured_part_00138,5,MILL_RECTANGULAR_POCKET,15.0,center,0,7.6,27.4,25010.82,133.3,188.0,0,poly,133.3,1.0
featured_part_00140,4,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,11.2,37.9,3801.08,52.8,72.5,1,poly,52.8,1.0
featured_part_00140,5,MILL_RECTANGULAR_POCKET,12.0,center,0,6.2,16.9,11288.57,85.6,132.5,0,poly,85.6,0.9982
featured_part_00140,6,MILL_SLOT,20.0,edge,1,12.8,33.7,6356.42,76.6,83.9,2,poly,76.6,1.0
featured_part_00141,2,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,14.6,30.4,7901.15,74.9,106.1,2,poly,74.9,1.0
featured_part_00141,3,MILL_RECTANGULAR_POCKET,8.0,center,0,4.7,12.9,7321.64,63.5,115.6,0,poly,63.5,1.0
featured_part_00141,4,MILL_RECTANGULAR_POCKET,20.0,center,0,11.1,37.9,2173.79,45.5,50.1,4,near,45.5,1.0001
featured_part_00141,5,MILL_SLOT,20.0,center,0,11.1,37.9,2173.79,45.5,50.1,4,near,45.5,1.0001
featured_part_00141,6,MILL_SLOT,20.0,edge,1,11.9,18.7,10986.27,83.5,132.3,3,poly,83.5,1.0
featured_part_00076,2,MILL_RECTANGULAR_POCKET,15.0,center,0,7.7,24.3,19246.19,96.5,201.9,0,poly,96.5,0.9904
featured_part_00077,3,MILL_RECTANGULAR_POCKET,14.0,center,0,9.0,37.9,999.66,20.0,56.1,1,near,20.0,0.9499
featured_part_00077,4,MILL_SLOT,20.0,center,0,9.0,37.9,999.66,20.0,56.1,1,near,20.0,0.9499
featured_part_00078,1,MILL_RECTANGULAR_POCKET,8.0,center,0,13.6,37.9,1077.08,32.1,38.5,2,near,32.1,1.0002
featured_part_00078,2,MILL_RECTANGULAR_POCKET,24.0,center,0,13.6,37.9,1077.08,32.1,38.5,2,near,32.1,1.0002
featured_part_00078,3,MILL_SLOT,8.0,edge,1,4.9,25.9,5129.69,51.4,100.0,1,poly,51.4,1.0
featured_part_00078,4,MILL_SLOT,24.0,edge,1,12.3,21.5,4490.0,44.7,101.9,3,poly,44.7,1.0
featured_part_00079,3,MILL_RECTANGULAR_POCKET,25.0,center,0,13.9,26.9,18318.53,99.7,185.4,0,poly,99.7,1.0
featured_part_00080,12,MILL_RECTANGULAR_POCKET,8.0,center,0,5.6,29.9,2132.48,36.6,59.0,1,near,36.6,1.0
featured_part_00080,13,MILL_RECTANGULAR_POCKET,8.0,center,0,5.6,29.9,2132.48,36.6,59.0,1,near,36.6,1.0
featured_part_00081,5,MILL_CORNER_NOTCH_RECTANGULAR,10.0,corner,2,5.9,16.1,5657.7,50.9,111.3,3,poly,50.9,1.0
featured_part_00081,6,MILL_RECTANGULAR_POCKET,10.0,center,0,5.9,12.6,15417.91,100.9,153.1,0,poly,100.9,1.0
featured_part_00081,7,MILL_RECTANGULAR_POCKET,16.0,center,0,8.2,37.9,10102.91,100.7,100.9,1,poly,100.7,1.0
featured_part_00081,8,MILL_SLOT,20.0,edge,1,13.2,19.9,6525.97,67.7,97.5,4,poly,67.7,1.0
featured_part_00081,9,MILL_RECTANGULAR_SLOT,16.0,slot,2,0.0,27.8,11848.48,29.8,397.6,2,poly,29.799,1.0
featured_part_00082,13,MILL_RECTANGULAR_SLOT,16.0,slot,2,0.0,37.9,4907.51,16.5,301.9,0,poly,16.5,0.9852
featured_part_00083,4,MILL_RECTANGULAR_SLOT,16.0,slot,2,0.0,22.5,6318.9,17.0,371.7,0,poly,16.999,1.0
featured_part_00035,10,MILL_RECTANGULAR_POCKET,22.0,center,0,9.1,37.9,749.04,20.3,40.4,1,near,20.3,1.0001
featured_part_00035,11,MILL_RECTANGULAR_POCKET,15.0,center,0,9.1,37.9,749.04,20.3,40.4,1,near,20.3,1.0001
featured_part_00036,5,MILL_RECTANGULAR_POCKET,6.0,center,0,4.0,25.9,11291.97,104.2,108.5,0,poly,104.2,1.0
featured_part_00036,6,MILL_RECTANGULAR_POCKET,8.0,center,0,4.2,10.8,26042.94,155.2,167.9,1,poly,155.2,1.0
featured_part_00037,1,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,37.9,6890.6,26.3,262.0,0,poly,26.299,1.0
featured_part_00041,2,MILL_RECTANGULAR_POCKET,12.0,center,0,7.7,28.2,7833.45,82.3,95.8,1,poly,82.3,1.0
featured_part_00041,3,MILL_SLOT,20.0,edge,1,10.6,37.9,8488.09,62.4,136.8,0,poly,62.4,1.0
featured_part_00041,4,MILL_SLOT,12.0,edge,1,6.1,37.9,10104.91,74.2,136.4,2,poly,74.2,1.0
featured_part_00042,6,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,8.1,37.9,5391.04,50.8,106.4,3,poly,50.8,1.0
featured_part_00042,7,MILL_RECTANGULAR_POCKET,16.0,center,0,10.2,37.4,9307.78,70.3,136.9,1,poly,70.3,0.9762
featured_part_00042,8,MILL_RECTANGULAR_SLOT,32.0,edge,1,0.0,52.4,8586.62,35.7,249.737,0,poly,35.7,0.9709
featured_part_00042,9,MILL_RECTANGULAR_SLOT,32.0,edge,1,0.0,52.4,8586.62,35.7,249.737,0,near,35.7,0.9709
featured_part_00042,10,MILL_RECTANGULAR_SLOT,20.0,slot,2,0.0,24.0,7027.31,24.1,294.0,2,poly,24.099,0.9918
featured_part_00045,5,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,8.4,37.9,7908.46,85.2,93.0,1,poly,85.2,1.0
featured_part_00045,6,MILL_RECTANGULAR_SLOT,50.0,slot,2,0.0,21.0,20226.4,54.9,369.0,0,poly,54.9,0.9984
featured_part_00046,10,MILL_RECTANGULAR_POCKET,10.0,center,0,5.8,29.9,18431.38,96.6,191.1,0,poly,96.6,1.0
featured_part_00047,5,MILL_RECTANGULAR_POCKET,25.0,center,0,13.5,37.9,9868.34,87.4,114.7,0,poly,87.4,1.0
featured_part_00048,2,MILL_RECTANGULAR_POCKET,15.9,center,0,8.0,31.1,2851.3,30.4,95.6,1,near,30.4,1.0
featured_part_00048,3,MILL_RECTANGULAR_POCKET,15.9,center,0,8.0,31.1,2851.3,30.4,95.6,1,near,30.4,1.0
featured_part_00048,4,MILL_SLOT,8.0,edge,1,4.2,12.2,17009.71,74.9,227.2,2,poly,74.9,1.0
featured_part_00049,5,MILL_CORNER_NOTCH_RECTANGULAR,12.0,corner,2,6.8,37.9,11239.58,74.5,151.0,1,poly,74.5,1.0
featured_part_00049,6,MILL_CORNER_NOTCH_RECTANGULAR,10.0,center,0,3.4,25.9,1483.93,34.5,43.3,3,near,34.5,1.0
featured_part_00049,7,MILL_RECTANGULAR_POCKET,6.0,center,0,3.4,25.9,1483.93,34.5,43.3,3,near,34.5,1.0
featured_part_00049,8,MILL_RECTANGULAR_SLOT,32.0,slot,2,0.0,25.0,17399.5,39.1,445.0,0,poly,39.098,1.0
featured_part_00050,13,MILL_RECTANGULAR_SLOT,25.4,edge,1,0.0,9.7,8755.94,25.6,360.4,0,poly,25.599,0.949
featured_part_00051,16,MILL_SLOT,16.0,edge,1,9.0,28.1,11820.06,89.6,133.7,1,poly,89.6,0.9896
featured_part_00051,17,MILL_RECTANGULAR_SLOT,50.0,slot,2,0.0,8.0,15310.2,51.0,300.2,0,poly,50.997,1.0
featured_part_00052,8,MILL_CORNER_NOTCH_RECTANGULAR,16.0,corner,2,9.5,32.7,6143.71,75.9,81.2,3,poly,75.9,1.0
featured_part_00052,9,MILL_RECTANGULAR_POCKET,20.0,center,0,8.6,37.9,2965.49,54.3,57.9,2,near,54.3,0.9627
featured_part_00052,10,MILL_RECTANGULAR_POCKET,16.0,center,0,8.6,37.9,2965.49,54.3,57.9,2,near,54.3,0.9627
featured_part_00052,11,MILL_RECTANGULAR_SLOT,32.0,slot,2,0.0,10.5,15502.08,35.2,440.4,1,poly,35.198,1.0
featured_part_00053,3,MILL_SLOT,16.0,edge,1,9.0,37.9,4215.77,62.6,67.9,0,poly,62.6,1.0
featured_part_00053,4,MILL_SLOT,25.4,edge,1,13.8,16.9,2280.88,46.6,50.7,1,poly,46.6,1.0001
featured_part_00055,8,MILL_RECTANGULAR_SLOT,28.0,slot,2,0.0,9.9,9473.03,29.7,319.7,0,poly,29.699,0.9977
featured_part_00056,5,MILL_CORNER_NOTCH_RECTANGULAR,25.4,edge,1,13.6,5.8,11028.01,81.5,135.8,0,poly,81.5,1.0
featured_part_00056,6,MILL_RECTANGULAR_POCKET,25.4,center,0,14.2,10.9,15653.34,95.1,167.4,2,poly,95.1,0.9941
featured_part_00056,7,MILL_SLOT,6.0,edge,1,3.4,25.9,8927.6,81.8,109.2,1,poly,81.8,1.0
featured_part_00111,4,MILL_RECTANGULAR_POCKET,16.0,center,0,10.5,33.0,15473.79,102.0,157.9,0,poly,102.0,0.9664
featured_part_00111,5,MILL_SLOT,16.0,edge,1,9.7,23.2,10223.72,68.2,150.5,1,poly,68.2,1.0
featured_part_00111,6,MILL_SLOT,16.0,edge,1,9.7,37.9,10756.62,91.5,118.0,2,poly,91.5,1.0
featured_part_00113,12,MILL_RECTANGULAR_POCKET,12.0,center,0,6.3,37.9,8588.82,90.6,97.8,0,poly,90.6,0.9731
featured_part_00114,2,MILL_CORNER_NOTCH_RECTANGULAR,20.0,corner,2,13.4,37.9,5469.47,72.0,76.5,4,poly,72.0,1.0
featured_part_00114,3,MILL_RECTANGULAR_POCKET,10.0,center,0,5.5,29.9,17304.73,132.7,148.6,0,poly,132.7,0.8787
featured_part_00114,4,MILL_RECTANGULAR_POCKET,6.0,center,0,7.8,37.9,2478.97,44.8,56.5,3,near,44.8,1.0
featured_part_00114,5,MILL_RECTANGULAR_POCKET,28.0,center,0,14.4,37.9,2388.52,41.8,61.4,2,near,41.8,1.0001
