part_id,num_operations,tool_changes,total_toolpath_time_min,total_cutting_time_min
featured_part_00131,13,9,11.9654,11.9352
featured_part_00132,21,17,27.5071,27.4716
featured_part_00133,4,1,67.0227,65.9782
featured_part_00134,8,6,42.6075,42.5526
featured_part_00135,8,2,26.8971,26.386
featured_part_00136,9,4,52.048,51.9777
featured_part_00137,4,1,115.268,115.1814
featured_part_00138,5,3,65.5014,65.4472
featured_part_00139,8,2,21.1176,21.1064
featured_part_00140,6,5,39.0561,38.5971
featured_part_00141,10,6,60.8342,60.2163
featured_part_00142,6,3,35.3458,35.2575
featured_part_00143,10,7,14.5119,14.1896
featured_part_00144,9,5,52.2198,51.4312
featured_part_00145,7,6,11.2951,11.2603
featured_part_00146,15,12,31.0029,30.9666
featured_part_00147,25,19,104.317,104.0891
featured_part_00148,3,2,15.5633,15.5444
featured_part_00149,9,3,70.2648,70.1251
featured_part_00150,10,6,83.6332,83.5006
featured_part_00151,4,3,6.6819,6.6763
featured_part_00152,7,3,75.2904,72.5735
featured_part_00153,13,7,62.7259,62.5991
featured_part_00154,3,1,74.8767,73.3248
featured_part_00156,20,13,59.0969,58.52
featured_part_00157,13,8,52.245,52.1479
featured_part_00159,16,12,10.0851,10.053
featured_part_00160,10,5,67.7901,67.381
featured_part_00161,6,4,30.0395,29.9992
featured_part_00162,9,7,8.9683,8.9401
featured_part_00163,25,15,86.5071,86.4059
featured_part_00164,9,3,49.2107,48.3702
featured_part_00165,12,7,69.7615,68.1452
featured_part_00167,6,4,184.7855,184.6786
featured_part_00168,3,1,15.8119,15.5309
featured_part_00169,13,8,102.5581,102.3635
featured_part_00170,12,7,92.0935,91.9817
featured_part_00171,8,6,25.7691,25.3447
featured_part_00173,9,4,114.4483,114.3173
featured_part_00174,4,1,80.4731,80.3353
featured_part_00175,15,8,127.3012,125.1323
featured_part_00176,4,1,18.6743,18.6687
featured_part_00177,7,5,21.7969,21.7794
featured_part_00178,11,2,40.8292,40.813
featured_part_00180,7,5,39.1073,39.0588
featured_part_00181,5,2,28.4157,27.0685
featured_part_00182,15,12,132.5118,132.299
featured_part_00183,5,4,18.5019,18.4543
featured_part_00184,16,4,33.1172,33.0287
featured_part_00185,17,11,39.6813,39.5779
featured_part_00187,15,7,46.5886,46.5506
featured_part_00188,16,11,69.0015,68.8794
featured_part_00189,1,0,14.4809,14.4805
featured_part_00190,8,5,25.6633,25.5977
featured_part_00191,5,2,99.479,99.3411
featured_part_00192,13,8,272.6503,271.6924
featured_part_00193,14,9,111.3023,110.953
featured_part_00194,10,4,68.2757,68.2102
featured_part_00195,5,2,63.487,63.4365
featured_part_00196,8,4,97.994,95.7347
featured_part_00197,10,7,63.2041,63.1436
featured_part_00198,9,5,54.8726,53.7551
featured_part_00199,13,7,7.181,7.1104
featured_part_00200,13,10,31.6895,31.6674
featured_part_00201,11,4,18.8658,18.8189
featured_part_00202,4,1,33.3099,33.2576
featured_part_00203,7,4,33.6668,33.1085
featured_part_00204,6,3,32.8649,32.1823
featured_part_00205,10,6,65.0169,64.8061
featured_part_00206,3,2,4.142,4.1174
featured_part_00207,9,4,142.004,141.8326
featured_part_00208,6,1,66.3604,66.1225
featured_part_00209,12,9,177.5368,176.272
featured_part_00210,3,2,13.8883,13.8738
featured_part_00211,4,2,111.711,110.7849
featured_part_00213,6,3,19.6304,19.5889
featured_part_00214,10,7,13.8362,13.6803
featured_part_00215,17,12,83.3947,82.3941
featured_part_00216,4,3,5.1828,5.178
featured_part_00217,9,8,63.7031,60.7956
featured_part_00219,5,1,15.6179,15.5311
featured_part_00220,3,0,23.9124,23.9087
featured_part_00221,7,4,49.4026,48.3238
featured_part_00222,7,4,35.3418,35.2594
featured_part_00223,12,9,13.1223,13.0438
featured_part_00225,3,2,35.2197,35.1838
featured_part_00226,2,1,0.3465,0.3435
featured_part_00227,11,8,56.8504,55.6768
featured_part_00228,13,8,106.0287,105.95
featured_part_00229,3,1,18.3355,18.2824
featured_part_00230,10,3,47.5153,47.4426
featured_part_00231,7,6,52.1311,52.0023
featured_part_00232,14,9,123.08,122.8448
featured_part_00233,5,1,42.539,42.5013
featured_part_00235,16,12,299.7314,299.5187
featured_part_00236,6,3,52.9935,51.3372
featured_part_00237,7,6,128.8782,125.025
featured_part_00238,3,2,18.2098,18.2046
featured_part_00239,15,11,50.4693,48.9614
featured_part_00240,14,9,58.3134,58.2189
featured_part_00241,14,10,25.6114,25.5027
featured_part_00242,6,3,22.4526,22.4092
featured_part_00243,10,6,8.8948,8.8765
featured_part_00244,4,3,55.541,53.893
featured_part_00245,18,12,93.5626,88.4307
featured_part_00246,5,2,23.4626,23.4036
featured_part_00247,5,2,39.6967,39.6389
featured_part_00249,7,4,54.0053,53.9692
featured_part_00250,4,3,0.5533,0.5471
featured_part_00252,4,2,33.0182,32.9947
featured_part_00253,17,10,61.9385,60.2893
featured_part_00255,2,1,78.7828,78.7288
featured_part_00256,19,10,72.5564,72.3974
featured_part_00258,8,6,40.4139,39.4613
featured_part_00259,3,1,52.4129,52.3769
featured_part_00260,20,11,90.3127,90.0959
featured_part_00261,11,3,19.2995,18.8291
featured_part_00262,7,5,19.0794,18.7838
featured_part_00263,16,8,55.3051,54.5876
featured_part_00264,6,3,37.5382,36.9147
featured_part_00265,13,9,27.1739,26.4964
featured_part_00266,13,10,33.9703,33.8441
featured_part_00267,13,6,78.9423,78.5742
featured_part_00268,11,6,153.1408,153.0147
featured_part_00269,2,1,13.2427,13.2099
featured_part_00271,3,1,173.6064,173.5034
featured_part_00272,15,12,26.113,26.0537
featured_part_00273,4,3,17.0862,16.4577
featured_part_00274,19,12,192.2484,185.4106
featured_part_00275,17,10,81.4347,78.6485
featured_part_00276,9,4,56.701,56.6418
featured_part_00277,14,3,23.8359,23.4953
featured_part_00278,7,5,75.9489,75.8092
featured_part_00279,18,13,75.3124,73.504
featured_part_00281,13,8,48.3032,48.2221
featured_part_00283,11,8,15.5885,15.4999
featured_part_00285,25,15,71.6259,71.0045
featured_part_00286,3,2,14.9991,14.5492
featured_part_00287,6,4,33.7307,33.7182
featured_part_00288,7,6,36.5841,36.5326
featured_part_00289,8,7,33.9608,33.8952
featured_part_00291,19,12,39.3936,39.285
featured_part_00292,9,4,29.2072,29.182
featured_part_00293,2,1,28.3555,27.4119
featured_part_00295,15,10,72.016,71.8928
featured_part_00296,6,3,43.9121,43.837
featured_part_00297,11,5,61.1556,61.0937
featured_part_00298,5,1,17.7142,17.6935
featured_part_00299,5,1,27.4313,27.401
featured_part_00300,3,2,19.9199,19.4061
featured_part_00301,5,4,24.227,24.2001
featured_part_00302,16,13,158.5085,154.1848
featured_part_00303,5,3,10.7623,10.746
featured_part_00304,7,5,27.0927,27.0607
featured_part_00305,7,2,8.358,8.3156
featured_part_00307,4,0,29.6883,29.6833
featured_part_00309,6,2,97.5325,94.315
featured_part_00310,18,13,54.8798,54.724
featured_part_00311,15,9,121.0782,120.9663
featured_part_00312,7,5,40.878,40.7277
featured_part_00314,14,3,60.4768,59.9001
featured_part_00315,7,4,33.8162,33.8021
featured_part_00316,2,0,18.0084,17.3913
featured_part_00317,5,3,22.5383,21.7897
featured_part_00318,18,12,40.1475,40.0229
featured_part_00319,10,7,57.0072,54.5822
featured_part_00320,9,6,35.9418,35.8686
featured_part_00321,8,6,16.7974,15.9278
featured_part_00322,16,11,129.5818,128.4522
featured_part_00324,11,7,123.5409,122.4893
featured_part_00325,6,4,86.9223,86.8625
featured_part_00326,6,2,65.9451,65.8918
featured_part_00327,20,13,63.3183,63.2519
featured_part_00330,15,10,33.543,33.4468
featured_part_00331,11,9,23.0262,22.2636
featured_part_00332,6,5,56.291,55.2255
featured_part_00333,8,6,75.7396,75.6043
featured_part_00334,14,6,137.1521,136.5276
featured_part_00335,7,3,46.3019,45.467
featured_part_00336,3,1,31.7706,31.743
featured_part_00337,1,0,19.5456,19.545
featured_part_00338,4,2,36.1668,36.1262
featured_part_00339,23,17,84.6364,84.5915
featured_part_00341,3,0,39.4696,39.465
featured_part_00342,25,12,129.0215,127.8293
featured_part_00343,5,3,24.701,24.2278
featured_part_00344,11,8,24.4947,24.3963
featured_part_00345,11,7,125.3167,123.9615
featured_part_00346,10,7,169.4398,165.4633
featured_part_00347,18,5,64.0127,62.8264
featured_part_00348,8,3,37.8589,37.7982
featured_part_00349,25,17,143.8045,142.5187
featured_part_00350,11,7,13.0912,13.0757
featured_part_00351,7,4,80.5042,79.1831
featured_part_00353,5,3,26.8734,26.4362
featured_part_00354,3,2,19.1672,19.1634
featured_part_00355,17,4,130.8814,130.7489
featured_part_00356,12,6,87.7944,85.5657
featured_part_00357,3,2,40.4161,40.375
featured_part_00358,9,7,32.8763,31.7688
featured_part_00360,13,9,42.6807,42.5463
featured_part_00361,5,0,2.3027,2.2947
featured_part_00362,7,3,94.7041,93.3817
featured_part_00363,8,6,17.1229,16.6999
featured_part_00364,15,8,186.8191,186.5079
featured_part_00365,8,4,48.9911,48.5119
featured_part_00366,5,4,15.7903,15.7746
featured_part_00367,4,3,11.433,10.7054
featured_part_00368,9,6,23.6532,23.6308
featured_part_00369,7,5,126.3231,123.7236
featured_part_00371,15,12,5.4087,5.383
featured_part_00372,9,5,22.7097,22.6753
featured_part_00373,4,3,6.5258,6.5134
featured_part_00375,21,13,58.0075,57.1927
featured_part_00376,2,1,23.7656,23.7322
featured_part_00377,8,2,63.6769,62.0092
featured_part_00378,13,4,29.5953,29.4213
featured_part_00379,6,4,59.7024,59.631
featured_part_00380,7,2,17.573,17.176
featured_part_00381,16,10,56.7958,55.5408
featured_part_00382,16,11,22.4607,21.5786
featured_part_00383,5,1,78.2728,78.1296
featured_part_00384,4,2,24.7958,24.7715
featured_part_00385,2,1,29.2319,29.1385
featured_part_00386,11,6,46.6151,45.5362
featured_part_00387,7,5,70.0808,69.4993
featured_part_00388,8,6,40.5789,40.5414
featured_part_00389,16,10,191.4464,189.3196
featured_part_00390,3,2,17.3803,16.7907
featured_part_00391,13,5,67.0021,66.5682
featured_part_00392,7,4,60.4174,58.293
featured_part_00393,18,13,175.5771,170.9033
featured_part_00394,11,7,65.8986,65.8237
featured_part_00395,10,3,39.5731,39.5135
featured_part_00396,20,10,30.6398,30.5564
featured_part_00397,1,0,6.1731,6.1301
featured_part_00398,12,9,207.2478,207.0007
featured_part_00399,10,3,109.6968,109.5363
featured_part_00400,9,3,42.6877,41.5002
featured_part_00401,8,2,39.3837,39.3436
featured_part_00402,4,2,83.4718,82.7482
featured_part_00404,8,2,25.5449,25.5306
featured_part_00405,9,7,32.8701,32.5485
featured_part_00406,6,3,124.2442,121.0661
featured_part_00407,2,1,56.3529,56.2839
featured_part_00408,11,7,109.2541,109.1036
featured_part_00409,7,6,57.101,55.756
featured_part_00411,7,5,64.5398,62.6267
featured_part_00412,4,2,87.8793,87.7335
featured_part_00413,2,0,33.4776,33.4062
featured_part_00414,6,4,13.1796,13.1609
featured_part_00416,15,5,153.4811,148.2281
featured_part_00417,9,6,7.1589,7.1478
featured_part_00418,8,5,15.6904,15.6561
featured_part_00419,2,1,26.592,26.005
featured_part_00420,12,9,43.9372,43.8599
featured_part_00421,4,3,70.1508,70.05
featured_part_00422,13,7,95.3724,94.6138
featured_part_00423,4,1,29.7504,29.6893
featured_part_00424,7,3,86.3681,86.196
featured_part_00425,10,7,53.9922,53.9143
featured_part_00426,6,2,58.402,58.3913
featured_part_00427,14,10,45.7974,45.7118
featured_part_00428,21,17,24.3155,24.2541
featured_part_00429,7,6,46.5869,46.1424
featured_part_00430,13,7,114.0104,112.2311
featured_part_00431,11,9,113.7543,113.616
featured_part_00432,1,0,9.4931,9.4721
featured_part_00433,8,4,43.4734,43.4623
featured_part_00434,24,16,107.419,107.2719
featured_part_00436,12,7,22.6769,22.5556
featured_part_00437,4,1,8.5452,8.5402
featured_part_00438,9,6,25.4523,25.4243
featured_part_00439,5,4,11.3905,11.2282
featured_part_00440,10,3,98.6063,98.4226
featured_part_00441,11,7,16.3393,16.3226
featured_part_00442,14,10,62.9288,62.8328
featured_part_00443,4,3,128.6082,125.2273
featured_part_00444,10,8,57.7983,57.6984
featured_part_00445,23,17,34.1616,33.2236
featured_part_00447,5,0,1.356,1.348
featured_part_00448,8,7,20.8229,20.3862
featured_part_00449,6,2,53.7723,53.6381
featured_part_00450,5,2,6.5283,6.2216
featured_part_00451,8,5,31.2129,30.8158
featured_part_00452,7,4,27.8375,27.7933
featured_part_00453,9,4,73.126,73.0195
featured_part_00454,3,2,6.5913,6.5879
featured_part_00455,6,3,18.6333,18.6141
featured_part_00456,5,4,44.6671,44.6012
featured_part_00457,9,7,206.6108,206.41
featured_part_00458,19,14,50.2362,50.1705
featured_part_00459,7,4,43.2999,41.6262
featured_part_00461,7,4,31.1858,30.8614
featured_part_00462,1,0,14.986,14.9837
featured_part_00463,4,2,24.2437,24.232
featured_part_00464,15,10,54.9863,54.9265
featured_part_00465,4,2,50.1676,50.1438
featured_part_00466,8,5,52.5955,52.1691
featured_part_00467,9,2,74.9401,74.8012
featured_part_00468,5,4,1.5277,1.5155
featured_part_00469,1,0,0.1556,0.154
featured_part_00470,7,5,8.0017,7.9893
featured_part_00472,7,2,61.1544,61.0615
featured_part_00473,4,2,47.7324,46.7346
featured_part_00474,6,5,23.825,23.7877
featured_part_00475,12,8,91.0345,90.9375
featured_part_00476,4,3,145.1727,144.4069
featured_part_00478,13,10,24.2254,24.1863
featured_part_00479,11,4,65.5782,65.3289
featured_part_00480,5,1,45.3396,45.2996
featured_part_00481,11,6,42.0034,41.8533
featured_part_00482,1,0,40.9614,40.9062
featured_part_00483,5,3,12.4057,12.3435
featured_part_00484,8,3,43.1227,42.6167
featured_part_00485,10,3,25.2292,25.2043
featured_part_00486,19,13,206.1348,204.1277
featured_part_00487,11,7,203.5519,203.3854
featured_part_00488,10,8,81.0417,80.931
featured_part_00489,19,14,27.6412,27.2824
featured_part_00490,18,10,57.7158,57.5957
featured_part_00491,17,11,87.9982,87.7281
featured_part_00492,8,4,60.694,58.7204
featured_part_00493,14,10,4.0794,4.0565
featured_part_00494,4,3,2.0719,2.0524
featured_part_00495,8,6,66.4063,64.1636
featured_part_00496,2,1,81.2106,77.3143
featured_part_00497,6,3,11.5023,11.475
featured_part_00498,14,11,108.061,104.9868
featured_part_00499,11,7,33.0218,33.0032
featured_part_00500,5,2,70.8887,70.7957
featured_part_00501,16,13,88.8224,88.6538
featured_part_00502,11,4,50.4112,50.0221
featured_part_00504,11,9,61.3775,61.3127
featured_part_00505,10,7,81.7651,81.0586
featured_part_00506,10,4,62.6868,62.6178
featured_part_00507,3,1,26.7395,26.6763
featured_part_00508,7,5,30.3862,30.0807
featured_part_00509,9,5,157.5607,156.6118
featured_part_00510,16,12,129.5824,125.3635
featured_part_00511,3,2,22.047,21.6312
featured_part_00512,7,4,45.6821,43.6409
featured_part_00513,9,7,82.8287,81.6987
featured_part_00514,7,5,29.1714,29.1588
featured_part_00515,11,7,244.488,244.31
featured_part_00516,17,10,91.1909,91.0108
featured_part_00518,8,5,123.3124,123.1945
featured_part_00519,13,8,121.768,121.5249
featured_part_00520,10,5,42.3686,40.7733
featured_part_00521,16,12,51.8402,50.984
featured_part_00522,8,6,26.6475,26.5299
featured_part_00523,7,3,51.9517,51.9404
featured_part_00524,6,3,50.4189,49.4175
featured_part_00525,13,9,93.1481,92.668
featured_part_00526,9,6,107.6527,107.5735
featured_part_00528,6,4,29.4395,29.3895
featured_part_00529,7,3,201.0219,200.8823
featured_part_00530,15,11,134.5825,133.8191
featured_part_00531,8,7,17.5197,17.2334
featured_part_00532,7,5,32.0956,31.9981
featured_part_00533,8,1,50.4463,50.395
featured_part_00534,7,3,33.4454,33.0404
featured_part_00535,7,3,82.4266,80.4289
featured_part_00536,10,6,24.6144,24.5006
featured_part_00537,3,1,10.5864,10.555
featured_part_00538,4,1,240.0723,239.9479
featured_part_00539,13,8,75.9411,74.8048
featured_part_00540,18,10,91.4265,91.1566
featured_part_00542,7,1,40.0117,39.976
featured_part_00543,6,4,26.2696,25.9639
featured_part_00544,7,5,20.7105,20.7006
featured_part_00546,14,9,80.6944,80.667
featured_part_00547,5,3,89.385,88.5835
featured_part_00548,23,17,41.9811,40.5346
featured_part_00549,15,11,44.5736,43.6636
featured_part_00550,19,12,27.365,27.3146
featured_part_00551,8,4,51.0657,50.3859
featured_part_00552,12,5,59.3738,58.2042
featured_part_00553,5,3,30.4389,29.6637
featured_part_00554,11,8,121.5518,121.3978
featured_part_00555,10,4,189.0732,188.4876
featured_part_00556,9,2,63.9485,63.7845
featured_part_00557,19,11,225.1895,225.0122
featured_part_00558,12,6,38.8076,38.744
featured_part_00559,6,4,14.6388,14.3396
featured_part_00561,7,2,5.4806,5.4414
featured_part_00562,14,8,94.5017,92.512
featured_part_00563,12,8,40.9875,40.0475
featured_part_00566,8,4,253.0162,252.0774
featured_part_00567,4,1,55.3226,53.4648
featured_part_00568,11,3,79.2114,77.9161
featured_part_00569,3,2,124.438,124.3532
featured_part_00570,3,2,16.0509,16.0472
featured_part_00571,5,2,35.4824,35.4743
featured_part_00573,10,8,28.6085,28.1283
featured_part_00574,17,12,15.8452,15.8045
featured_part_00575,5,4,108.5327,108.3975
featured_part_00576,10,8,34.4698,34.3229
featured_part_00577,21,12,86.0681,85.8762
featured_part_00578,14,11,11.2406,10.8412
featured_part_00580,11,6,70.5896,69.5638
featured_part_00581,3,1,19.7979,19.3214
featured_part_00582,2,1,22.4837,22.4561
featured_part_00584,11,9,18.2859,18.2411
featured_part_00586,8,4,177.9265,175.9335
featured_part_00587,5,3,69.1659,69.0461
featured_part_00588,9,5,69.8692,69.7323
featured_part_00589,6,3,45.6228,43.9523
featured_part_00590,13,9,99.9987,99.9048
featured_part_00591,14,9,14.4576,14.4335
featured_part_00592,13,4,43.519,43.4218
featured_part_00593,4,3,16.2037,16.1567
featured_part_00594,7,5,97.8394,97.2527
featured_part_00595,3,2,20.8899,20.8862
featured_part_00596,6,3,176.3435,173.687
featured_part_00597,3,2,40.1944,40.1389
featured_part_00598,6,2,99.1696,99.0248
featured_part_00599,11,6,34.6443,34.5426
featured_part_00600,11,7,19.8925,19.8364
featured_part_00602,2,0,16.0491,16.0469
featured_part_00603,1,0,88.2222,88.1743
featured_part_00604,6,3,43.5189,43.4262
featured_part_00605,21,15,177.9089,170.755
featured_part_00608,16,5,40.6466,40.6031
featured_part_00609,9,7,39.8801,38.9248
featured_part_00610,7,1,68.5878,68.5225
featured_part_00611,16,4,104.4564,103.5191
featured_part_00612,6,2,93.7696,91.2349
featured_part_00614,9,6,97.7467,97.5633
featured_part_00615,6,3,31.7122,31.6676
featured_part_00616,3,2,31.3134,31.282
featured_part_00617,14,10,68.4129,67.3616
featured_part_00618,8,3,2.7066,2.665
featured_part_00619,8,5,71.4584,71.393
featured_part_00620,25,13,48.1988,47.9433
featured_part_00621,11,4,51.694,51.5822
featured_part_00622,7,2,53.7148,53.4253
featured_part_00623,6,4,96.9098,96.8374
featured_part_00624,16,11,40.8565,40.1084
featured_part_00625,8,6,39.4018,37.3829
featured_part_00626,21,11,37.3977,37.3337
featured_part_00627,6,5,115.8734,115.7169
featured_part_00628,7,6,52.8266,50.3718
featured_part_00629,3,2,78.2725,78.1925
featured_part_00630,11,8,130.9018,124.5924
featured_part_00631,6,5,95.9526,94.2154
featured_part_00632,9,6,84.3884,84.2342
featured_part_00633,7,5,17.1228,17.0812
featured_part_00634,10,3,25.0957,25.0342
featured_part_00635,4,1,60.3267,58.2913
featured_part_00636,8,6,83.8607,83.7569
featured_part_00638,8,7,117.1624,116.2743
featured_part_00639,11,6,22.4917,22.4556
featured_part_00640,8,4,23.2012,23.0199
featured_part_00641,11,8,37.3321,37.2
featured_part_00642,5,2,78.1392,78.0052
featured_part_00644,5,2,21.3989,21.3423
featured_part_00645,18,13,51.7262,51.6952
featured_part_00646,23,4,143.0063,140.634
featured_part_00647,4,1,27.4069,27.1465
featured_part_00648,11,6,82.9719,81.9633
featured_part_00650,7,5,41.8369,41.801
featured_part_00651,15,6,190.275,189.6736
featured_part_00652,9,6,136.9098,136.1527
featured_part_00653,21,17,92.0875,91.2632
featured_part_00654,14,10,78.2245,77.9772
featured_part_00655,9,6,31.729,31.4404
featured_part_00656,33,25,164.1798,163.9742
featured_part_00657,3,0,52.2437,52.2379
featured_part_00660,16,9,49.8651,48.7164
featured_part_00661,18,10,319.1157,318.6963
featured_part_00662,8,5,25.9973,25.9332
featured_part_00663,6,3,71.2324,69.774
featured_part_00665,16,5,129.82,129.7128
featured_part_00666,5,3,101.2225,100.4845
featured_part_00667,18,14,369.7777,368.0011
featured_part_00668,8,3,103.8934,103.5504
featured_part_00670,20,11,40.5823,40.4769
featured_part_00671,6,2,59.4824,58.4793
featured_part_00672,4,3,63.8701,63.779
featured_part_00674,9,6,34.5693,34.5397
featured_part_00675,3,0,41.325,41.3186
featured_part_00677,11,5,60.5777,60.5319
featured_part_00678,7,4,58.2289,58.1492
featured_part_00679,5,1,25.6971,25.678
featured_part_00680,9,5,244.5311,244.3218
featured_part_00681,11,8,68.0895,64.4293
featured_part_00682,7,5,13.6021,13.4399
featured_part_00683,10,6,168.0555,166.6932
featured_part_00685,27,19,110.7897,106.7838
featured_part_00686,3,2,10.6232,10.3422
featured_part_00687,12,6,103.2478,103.0458
featured_part_00688,10,6,104.3452,104.2428
featured_part_00689,15,12,41.6205,39.8805
featured_part_00690,1,0,14.4229,14.4216
featured_part_00691,7,4,15.5676,15.5158
featured_part_00692,12,8,87.0088,86.8564
featured_part_00693,16,10,127.6876,126.2569
featured_part_00694,6,3,18.1681,18.1579
featured_part_00695,12,3,74.9825,74.8925
featured_part_00696,7,3,56.9852,56.8912
featured_part_00697,8,6,11.7833,11.7398
featured_part_00698,13,7,22.5089,22.1952
featured_part_00699,5,3,37.7873,37.7769
featured_part_00701,5,4,146.4519,146.3492
featured_part_00702,7,3,11.3235,11.2191
featured_part_00703,11,8,18.7295,18.7036
featured_part_00704,9,6,49.6494,49.5191
featured_part_00705,4,2,17.2602,17.1982
featured_part_00706,14,8,44.004,43.9171
featured_part_00707,7,4,399.5342,399.2322
featured_part_00708,3,1,61.7597,59.258
featured_part_00709,5,3,42.8846,42.8109
featured_part_00710,6,2,83.2816,83.1856
featured_part_00711,18,11,149.3941,149.2234
featured_part_00712,6,3,23.0833,23.0524
featured_part_00713,8,2,110.4249,110.2682
featured_part_00714,5,3,74.2883,74.1546
featured_part_00715,5,3,132.4519,130.3366
featured_part_00716,15,9,137.5977,135.6969
featured_part_00717,12,10,30.742,30.6554
